"","wage","lwage","educ","exper","tenure","numdep","expersq","tenursq","educsqr","race","metro","marital.st","gender","business.type","job.type","log.tenure","res","region"
"33",9.68,2.270062,13,16,16,0,256,256,169,"white","rural","single","female","other","profocc",2.83321334405622,0.116218763205252,"west"
"34",5,1.609438,12,7,3,0,49,9,144,"white","rural","single","female","other","clerocc",1.38629436111989,-0.0838169569674111,"west"
"35",4.68,1.543298,12,3,0,0,9,0,144,"white","rural","single","female","services","clerocc",0,0.358712355427396,"west"
"36",4.27,1.451614,16,22,4,1,484,16,256,"nonwhite","rural","married","female","trade","profocc",1.6094379124341,-0.512981109744627,"west"
"37",6.15,1.816452,12,15,6,1,225,36,144,"nonwhite","rural","married","female","services","servocc",1.94591014905531,0.381592498400994,"west"
"38",3.51,1.255616,4,39,15,5,1521,225,16,"white","rural","married","male","trade","other",2.77258872223978,-0.259550210199925,"west"
"39",3,1.098612,14,3,3,0,9,9,196,"white","rural","married","female","profserv","clerocc",1.38629436111989,-0.55734031217322,"west"
"40",6.25,1.832582,12,11,0,0,121,0,144,"white","rural","single","female","profserv","clerocc",0,0.320487131603181,"west"
"41",7.81,2.055405,12,3,0,0,9,0,144,"white","rural","married","female","services","servocc",0,0.942977656119325,"west"
"42",10,2.302585,12,20,5,4,400,25,144,"nonwhite","rural","married","female","profserv","clerocc",1.79175946922805,0.619009872282337,"west"
"43",4.5,1.504077,14,16,0,1,256,0,196,"white","rural","married","female","profserv","clerocc",0,-0.200897657957168,"west"
"44",4,1.386294,11,45,12,0,2025,144,121,"white","rural","married","female","profserv","servocc",2.56494935746154,-0.0830292773933306,"west"
"45",6.38,1.853168,13,11,4,0,121,16,169,"white","rural","single","female","other","other",1.6094379124341,0.0723155461817696,"west"
"46",13.7,2.617396,15,20,13,2,400,169,225,"white","rural","married","male","profserv","profocc",2.63905732961526,0.187928728386554,"west"
"47",1.67,0.5128236,10,1,0,1,1,0,100,"white","rural","single","male","services","other",0,-0.724452002219463,"west"
"48",2.93,1.075002,12,36,2,1,1296,4,144,"white","rural","married","female","trade","profocc",1.09861228866811,-0.535436756265637,"west"
"49",3.65,1.294727,14,9,2,0,81,4,196,"white","rural","single","male","trade","profocc",1.09861228866811,-0.627478382513667,"west"
"50",2.9,1.064711,12,15,1,2,225,1,144,"white","rural","married","female","services","servocc",0.693147180559945,-0.257611041100583,"west"
"51",1.63,0.48858,12,18,0,2,324,0,144,"white","suburb","single","female","services","servocc",0,-0.533727516369156,"other"
"52",8.6,2.151762,16,3,2,0,9,4,256,"white","rural","single","female","profserv","profocc",1.09861228866811,0.343434296321166,"other"
"53",5,1.609438,12,15,5,1,225,25,144,"white","rural","married","male","trade","clerocc",1.79175946922805,-0.15136323371053,"other"
"54",6,1.791759,12,7,7,0,49,49,144,"white","rural","married","male","other","other",2.07944154167984,-0.160052267202558,"other"
"55",2.5,0.9162908,12,2,0,2,4,0,144,"white","suburb","single","male","other","other",0,-0.492139051850042,"other"
"56",3.25,1.178655,15,3,0,1,9,0,225,"white","suburb","single","male","trade","servocc",0,-0.0826655425130918,"other"
"57",3.4,1.223776,16,1,1,1,1,1,256,"white","suburb","single","female","trade","servocc",0.693147180559945,0.130358272318822,"other"
"58",10,2.302585,8,13,0,0,169,0,64,"nonwhite","rural","single","male","trade","other",0,0.973083600594129,"other"
"59",21.63,3.074081,18,8,8,0,64,64,324,"white","rural","single","female","profserv","profocc",2.19722457733622,0.894641376544521,"other"
"60",4.38,1.477049,16,7,0,0,49,0,256,"white","rural","single","male","trade","servocc",0,-0.109866961979576,"other"
"61",11.71,2.460443,13,40,20,0,1600,400,169,"white","rural","single","female","ndurman","profocc",3.04452243772342,0.576402812117201,"other"
"62",12.39,2.51689,14,42,5,0,1764,25,196,"white","rural","single","male","profserv","profocc",1.79175946922805,0.477507103013231,"other"
"63",6.25,1.832582,10,36,8,0,1296,64,100,"white","rural","single","male","trade","servocc",2.19722457733622,0.308074993893139,"other"
"64",3.71,1.311032,10,13,0,4,169,0,100,"nonwhite","rural","single","female","profserv","clerocc",0,0.0467423253887152,"other"
"65",7.78,2.051556,14,9,3,0,81,9,196,"white","rural","single","male","profserv","profocc",1.38629436111989,-0.0187815944127144,"other"
"66",19.98,2.994732,14,26,23,2,676,529,196,"white","rural","married","male","other","profocc",3.17805383034795,0.525005265746984,"other"
"67",6.25,1.832582,16,7,4,3,49,16,256,"nonwhite","rural","married","female","profserv","profocc",1.6094379124341,-0.0535305768954847,"other"
"68",10,2.302585,12,25,3,3,625,9,144,"white","rural","married","male","profserv","profocc",1.38629436111989,0.250502926351403,"other"
"69",5.71,1.742219,16,10,5,1,100,25,256,"white","rural","married","male","profserv","profocc",1.79175946922805,-0.546892289500226,"other"
"70",2,0.6931472,12,3,2,4,9,4,144,"white","rural","single","female","services","other",1.09861228866811,-0.382563902917613,"other"
"71",5.71,1.742219,16,3,0,0,9,0,256,"white","rural","single","female","trade","clerocc",0,0.374332239324636,"other"
"72",13.08,2.571084,17,17,2,3,289,4,289,"nonwhite","rural","married","male","profserv","profocc",1.09861228866811,0.265198052487802,"other"
"73",4.91,1.591274,12,17,8,2,289,64,144,"white","rural","married","male","other","other",2.19722457733622,-0.451243346961102,"other"
"74",2.91,1.068153,12,20,34,2,400,1156,144,"white","rural","married","female","services","clerocc",3.55534806148941,-0.612961916664024,"other"
"75",3.75,1.321756,12,7,0,0,49,0,144,"white","rural","married","female","construc","clerocc",0,-0.177799725827317,"other"
"76",11.9,2.476538,13,24,19,2,576,361,169,"white","rural","married","male","profserv","profocc",2.99573227355399,0.196521198253978,"other"
"77",4,1.386294,12,28,0,1,784,0,144,"white","rural","married","female","profserv","clerocc",0,-0.164354890186884,"other"
"78",3.1,1.131402,12,2,1,1,4,1,144,"white","rural","single","female","trade","clerocc",0.693147180559945,-0.00167194214674524,"other"
"79",8.45,2.134166,12,19,13,4,361,169,144,"white","rural","married","male","other","other",2.63905732961526,0.0866392049597637,"other"
"80",7.14,1.965713,18,13,0,2,169,0,324,"white","rural","married","male","profserv","profocc",0,-0.340356220852405,"other"
"81",4.5,1.504077,9,22,5,4,484,25,81,"white","rural","married","male","other","other",1.79175946922805,-0.360109696458117,"other"
"82",4.65,1.536867,16,3,1,0,9,1,256,"white","rural","single","male","ndurman","other",0.693147180559945,-0.296316898594095,"other"
"83",2.9,1.064711,10,4,0,1,16,0,100,"white","rural","single","female","profserv","servocc",0,-0.029283377632907,"other"
"84",6.67,1.89762,12,7,5,0,49,25,144,"white","rural","single","male","other","profocc",1.79175946922805,-0.180614288241127,"other"
"85",3.5,1.252763,12,6,2,1,36,4,144,"nonwhite","rural","single","female","profserv","servocc",1.09861228866811,-0.0396406204175503,"other"
"86",3.26,1.181727,12,13,3,1,169,9,144,"white","rural","married","female","trade","profocc",1.38629436111989,-0.414161192035698,"other"
"87",3.25,1.178655,12,14,0,1,196,0,144,"white","rural","married","female","profserv","clerocc",0,-0.331553599781691,"other"
"88",8,2.079442,12,14,4,1,196,16,144,"white","rural","single","female","profserv","profocc",1.6094379124341,0.315859893931333,"other"
"89",9.85,2.287472,8,40,24,2,1600,576,64,"nonwhite","rural","married","male","other","other",3.2188758248682,0.441120331499466,"other"
"90",7.5,2.014903,12,11,7,1,121,49,144,"white","rural","married","male","other","other",2.07944154167984,0.0228103548112997,"other"
"91",5.91,1.776646,12,14,6,2,196,36,144,"white","suburb","married","male","trcommpu","other",1.94591014905531,0.0589811137387675,"other"
"92",11.76,2.464704,14,40,39,0,1600,1521,196,"white","rural","married","male","trcommpu","profocc",3.68887945411394,0.172974144424761,"other"
"93",3,1.098612,12,1,0,2,1,0,144,"white","rural","single","female","trade","profocc",0,-0.073604525815106,"other"
"94",4.81,1.570697,12,2,0,0,4,0,144,"white","rural","single","female","profserv","servocc",0,0.414496705931462,"other"
"95",6.5,1.871802,12,4,1,0,16,1,144,"white","rural","single","female","profserv","profocc",0.693147180559945,0.330973893146913,"other"
"96",4,1.386294,9,19,1,1,361,1,81,"white","rural","married","female","services","servocc",0.693147180559945,0.188904831253495,"other"
"97",3.5,1.252763,13,1,0,1,1,0,169,"white","rural","single","male","ndurman","profocc",0,-0.446894572925355,"other"
"98",13.16,2.577182,12,34,22,0,1156,484,144,"white","rural","married","male","trade","profocc",3.13549421592915,0.53256612588389,"other"
"99",4.25,1.446919,14,5,2,2,25,4,196,"white","rural","married","male","trade","other",1.09861228866811,-0.135940746232588,"other"
"100",3.5,1.252763,12,3,0,0,9,0,144,"white","rural","single","male","trade","servocc",0,1.20449981939512e-05,"other"
"101",5.13,1.635106,15,6,6,0,36,36,225,"white","rural","single","female","ndurman","profocc",1.94591014905531,-0.249235525658394,"other"
"102",3.75,1.321756,12,14,0,3,196,0,144,"white","rural","married","female","services","servocc",0,0.162510392903538,"other"
"103",4.5,1.504077,12,35,12,0,1225,144,144,"white","rural","married","female","profserv","clerocc",2.56494935746154,-0.249381983272352,"other"
"104",7.63,2.032088,12,8,4,0,64,16,144,"white","rural","single","female","trcommpu","clerocc",1.6094379124341,0.493238671304337,"other"
"105",15,2.70805,14,7,7,1,49,49,196,"nonwhite","rural","married","male","other","other",2.07944154167984,0.697561504766563,"other"
"106",6.85,1.924249,15,11,3,2,121,9,225,"white","rural","married","female","profserv","profocc",1.38629436111989,0.0148579938035761,"other"
"107",13.33,2.590017,12,14,11,2,196,121,144,"white","rural","married","male","trade","profocc",2.484906649788,0.646258792031469,"other"
"108",6.67,1.89762,12,35,10,0,1225,100,144,"white","rural","single","male","other","other",2.39789527279837,-0.115264304030437,"other"
"109",2.53,0.9282193,12,46,0,0,2116,0,144,"white","rural","single","female","trade","profocc",0,-0.298292235071509,"other"
"110",9.8,2.282382,17,7,0,0,49,0,289,"white","rural","married","male","services","profocc",0,0.286297721941758,"other"
"111",3.37,1.214913,11,45,12,0,2025,144,121,"white","rural","married","male","trade","profocc",2.56494935746154,-0.538008123464483,"other"
"112",24.98,3.218076,18,29,25,0,841,625,324,"white","rural","married","male","other","profocc",3.25809653802148,0.396584491833912,"other"
"113",5.4,1.686399,12,6,3,0,36,9,144,"white","rural","married","male","services","other",1.38629436111989,0.11515573067309,"other"
"114",6.11,1.809927,14,15,0,2,225,0,196,"white","rural","married","male","trade","profocc",0,-0.0236483307809725,"other"
"115",4.2,1.435084,14,33,16,0,1089,256,196,"white","rural","married","female","profserv","profocc",2.83321334405622,-0.630792718233891,"other"
"116",3.75,1.321756,10,15,0,0,225,0,100,"white","rural","single","male","trade","other",0,-0.112884588031591,"other"
"117",3.5,1.252763,14,5,0,0,25,0,196,"white","suburb","married","female","profserv","clerocc",0,-0.0535621113055392,"south"
"118",3.64,1.291984,12,7,2,0,49,4,144,"white","rural","single","male","profserv","servocc",1.09861228866811,-0.276663380223162,"south"
"119",3.8,1.335001,15,6,1,1,36,1,225,"white","rural","married","male","trade","other",0.693147180559945,-0.266652182665235,"south"
"120",3,1.098612,8,33,12,3,1089,144,64,"white","suburb","married","female","ndurman","other",2.56494935746154,-0.223585985439321,"south"
"121",5,1.609438,16,2,1,0,4,1,256,"white","suburb","married","female","trade","profocc",0.693147180559945,0.197573731718347,"south"
"122",4.63,1.532557,14,4,0,2,16,0,196,"white","rural","married","female","profserv","servocc",0,0.272331998737572,"south"
"123",3,1.098612,15,1,0,0,1,0,225,"white","rural","single","male","trade","profocc",0,-0.504774137076519,"south"
"124",3.2,1.163151,12,29,0,1,841,0,144,"white","rural","single","female","other","clerocc",0,-0.394674005448899,"south"
"125",3.91,1.363537,18,17,3,2,289,9,324,"white","suburb","married","male","profserv","profocc",1.38629436111989,-0.910472576517278,"south"
"126",6.43,1.860975,16,17,3,2,289,9,256,"white","suburb","married","female","profserv","profocc",1.38629436111989,0.0138262795897546,"south"
"127",5.48,1.701105,10,36,3,0,1296,9,100,"white","rural","married","female","other","other",1.38629436111989,0.142360542789555,"south"
"128",1.5,0.4054651,8,31,30,0,961,900,64,"white","suburb","single","male","trade","other",3.43398720448515,-1.10596468642931,"south"
"129",2.9,1.064711,10,23,2,2,529,4,100,"white","suburb","single","female","profserv","servocc",1.09861228866811,-0.12034166243162,"south"
"130",5,1.609438,11,13,1,0,169,1,121,"white","suburb","married","male","trade","other",0.693147180559945,0.243187447066165,"south"
"131",8.92,2.188296,18,3,3,0,9,9,324,"white","rural","married","male","trade","profocc",1.38629436111989,0.11612800325487,"south"
"132",5,1.609438,15,15,0,0,225,0,225,"white","rural","single","male","trade","profocc",0,-0.235554901273045,"south"
"133",3.52,1.258461,12,48,1,0,2304,1,144,"white","suburb","married","male","profserv","other",0.693147180559945,-0.0718611841728541,"south"
"134",2.9,1.064711,11,6,0,1,36,0,121,"white","suburb","single","female","ndurman","other",0,0.0123570315522865,"south"
"135",4.5,1.504077,12,12,0,3,144,0,144,"white","rural","married","male","trade","other",0,0.0971692049153532,"south"
"136",2.25,0.8109302,12,5,0,2,25,0,144,"white","rural","single","female","trade","servocc",0,-0.123882800835241,"south"
"137",5,1.609438,14,19,5,4,361,25,196,"white","rural","married","male","trade","other",1.79175946922805,-0.114994586956128,"south"
"138",10,2.302585,16,9,3,2,81,9,256,"nonwhite","rural","married","male","other","profocc",1.38629436111989,0.0579083322927568,"south"
"139",3.75,1.321756,2,39,13,0,1521,169,4,"white","rural","married","male","profserv","servocc",2.63905732961526,-0.327996937964078,"south"
"140",10,2.302585,14,28,11,0,784,121,196,"white","rural","married","female","ndurman","profocc",2.484906649788,0.278267007094629,"south"
"141",10.95,2.393339,16,23,20,4,529,400,256,"white","rural","married","male","ndurman","profocc",3.04452243772342,0.0051169988979166,"south"
"142",7.9,2.066863,12,2,0,0,4,0,144,"white","rural","single","male","construc","other",0,0.568441774164448,"south"
"143",4.72,1.551809,12,15,1,0,225,1,144,"white","rural","single","female","other","other",0.693147180559945,-0.0199073638202854,"south"
"144",5.84,1.764731,13,5,0,1,25,0,169,"white","rural","married","female","profserv","clerocc",0,0.396777356819835,"south"
"145",3.83,1.342865,12,18,2,3,324,4,144,"white","rural","single","female","other","clerocc",1.09861228866811,-0.267508773079905,"south"
"146",3.2,1.163151,15,2,2,2,4,4,225,"white","rural","single","female","trcommpu","other",1.09861228866811,-0.229786949991718,"south"
"147",2,0.6931472,10,3,0,5,9,0,100,"nonwhite","rural","single","female","trade","servocc",0,-0.0131107495310588,"south"
"148",4.5,1.504077,12,31,4,3,961,16,144,"white","rural","married","female","profserv","clerocc",1.6094379124341,-0.0744744341623315,"south"
"149",11.55,2.446686,16,20,5,3,400,25,256,"white","rural","married","female","construc","clerocc",1.79175946922805,0.509821456388602,"south"
"150",2.14,0.7608059,13,34,15,0,1156,225,169,"nonwhite","rural","married","female","services","other",2.77258872223978,-0.762650244714679,"south"
"151",2.38,0.8671005,9,5,0,5,25,0,81,"nonwhite","rural","single","male","other","servocc",0,-0.411397334377455,"south"
"152",3.75,1.321756,12,11,0,1,121,0,144,"white","rural","single","male","other","other",0,-0.372421965677375,"south"
"153",5.52,1.708378,13,31,3,0,961,9,169,"white","rural","single","male","trade","other",1.38629436111989,0.051856134863744,"south"
"154",6.5,1.871802,12,8,5,0,64,25,144,"white","rural","married","female","trcommpu","clerocc",1.79175946922805,0.320588646704007,"south"
"155",3.1,1.131402,12,2,2,1,4,4,144,"white","rural","single","female","ndurman","other",1.09861228866811,-0.127466822703095,"south"
"156",10,2.302585,14,18,5,2,324,25,196,"white","rural","married","male","other","profocc",1.79175946922805,0.0307733330242726,"south"
"157",6.63,1.891605,16,3,0,0,9,0,256,"white","rural","married","male","profserv","profocc",0,-0.0679158821242007,"south"
"158",10,2.302585,16,3,2,0,9,4,256,"white","rural","married","male","trcommpu","profocc",1.09861228866811,0.253256301338831,"south"
"159",2.31,0.8372475,9,4,1,5,16,1,81,"white","suburb","single","female","trade","servocc",0.693147180559945,0.195165090754262,"northcen"
"160",6.88,1.928619,18,4,4,0,16,16,324,"white","rural","single","male","profserv","profocc",1.6094379124341,-0.318883300833681,"northcen"
"161",2.83,1.040277,10,1,0,4,1,0,100,"white","rural","single","male","trade","other",0,0.00217088413598967,"northcen"
"162",3.13,1.141033,10,1,0,1,1,0,100,"white","rural","single","female","trade","profocc",0,0.0855511442485363,"northcen"
"163",8,2.079442,13,28,5,1,784,25,169,"white","rural","married","male","services","profocc",1.79175946922805,0.136292117854928,"northcen"
"164",4.5,1.504077,12,47,4,0,2209,16,144,"white","rural","married","female","trade","clerocc",1.6094379124341,0.313289149415787,"northcen"
"165",8.65,2.157559,18,13,1,0,169,1,324,"white","rural","single","female","ndurman","profocc",0.693147180559945,0.0965985316179045,"northcen"
"166",2,0.6931472,13,2,6,0,4,36,169,"white","rural","single","female","services","servocc",1.94591014905531,-0.458876166057048,"northcen"
"167",4.75,1.558145,12,48,2,0,2304,4,144,"white","rural","married","female","profserv","servocc",1.09861228866811,0.377936521792232,"northcen"
"168",6.25,1.832582,13,6,5,1,36,25,169,"white","rural","married","female","profserv","profocc",1.79175946922805,0.128079181559639,"northcen"
"169",6,1.791759,13,8,0,2,64,0,169,"white","rural","married","male","profserv","servocc",0,0.258064206534103,"northcen"
"170",15.38,2.733068,13,25,21,2,625,441,169,"white","rural","married","male","profserv","profocc",3.09104245335832,0.50274776419364,"northcen"
"171",14.58,2.679651,18,13,7,0,169,49,324,"white","rural","single","female","profserv","profocc",2.07944154167984,0.496353794804725,"northcen"
"172",12.5,2.525729,12,8,1,0,64,1,144,"white","rural","single","male","other","other",0.693147180559945,0.792712165673236,"northcen"
"173",5.25,1.658228,12,19,10,2,361,100,144,"white","rural","married","female","trcommpu","clerocc",2.39789527279837,-0.0204774673602936,"northcen"
"174",2.17,0.7747272,13,1,4,1,1,16,169,"white","rural","single","female","ndurman","servocc",1.6094379124341,-0.484822367106887,"northcen"
"175",7.14,1.965713,12,43,5,0,1849,25,144,"white","rural","single","female","other","other",1.79175946922805,0.461535256305479,"northcen"
"176",6.22,1.82777,12,19,9,1,361,81,144,"white","rural","married","female","profserv","clerocc",2.30258509299405,0.12086104246326,"northcen"
"177",9,2.197225,12,11,5,0,121,25,144,"white","rural","married","female","profserv","profocc",1.79175946922805,0.437214886395303,"northcen"
"178",10,2.302585,14,43,4,0,1849,16,196,"white","rural","married","male","profserv","profocc",1.6094379124341,0.309174952995554,"northcen"
"179",5.77,1.752672,10,44,3,0,1936,9,100,"white","rural","married","male","profserv","profocc",1.38629436111989,-0.00270233381439541,"northcen"
"180",4,1.386294,12,22,11,2,484,121,144,"white","rural","married","female","ndurman","other",2.484906649788,-0.280550467169216,"northcen"
"181",8.75,2.169054,16,3,2,1,9,4,256,"white","rural","married","male","ndurman","profocc",1.09861228866811,0.127582077560792,"northcen"
"182",6.53,1.876407,16,3,2,0,9,4,256,"white","rural","single","female","profserv","profocc",1.09861228866811,0.125695464741097,"northcen"
"183",7.6,2.028148,12,41,11,0,1681,121,144,"white","rural","single","female","profserv","profocc",2.484906649788,0.332097176071411,"northcen"
"184",5,1.609438,14,5,0,0,25,0,196,"white","rural","single","male","trade","other",0,0.187664859450609,"northcen"
"185",5,1.609438,12,14,11,0,196,121,144,"white","rural","single","female","profserv","servocc",2.484906649788,0.0717339872669888,"northcen"
"186",21.86,3.084659,12,24,16,3,576,256,144,"white","rural","married","male","trade","profocc",2.83321334405622,1.13932954978731,"northcen"
"187",8.64,2.156403,12,28,8,0,784,64,144,"white","rural","married","male","ndurman","profocc",2.19722457733622,0.0156959839453541,"northcen"
"188",3.3,1.193922,12,25,8,1,625,64,144,"white","rural","married","male","trade","other",2.19722457733622,-0.536869171136316,"northcen"
"189",4.44,1.490654,12,3,0,0,9,0,144,"white","rural","single","male","trade","profocc",0,0.0211824339909196,"northcen"
"190",4.55,1.515127,12,11,0,0,121,0,144,"white","suburb","married","male","other","other",0,-0.104125965192305,"northcen"
"191",3.5,1.252763,12,7,6,0,49,36,144,"nonwhite","suburb","married","female","other","other",1.94591014905531,-0.196376493039139,"northcen"
"192",6.25,1.832582,16,9,2,1,81,4,256,"white","suburb","married","male","profserv","profocc",1.09861228866811,-0.173207420792749,"northcen"
"193",3.85,1.348073,16,5,0,0,25,0,256,"white","rural","married","male","trade","other",0,-0.26334172015913,"northcen"
"194",6.18,1.821318,14,9,3,0,81,9,196,"white","rural","married","female","profserv","profocc",1.38629436111989,0.0174898484005251,"northcen"
"195",2.91,1.068153,11,1,0,3,1,0,121,"white","rural","single","female","services","profocc",0,0.018527569398892,"northcen"
"196",6.25,1.832582,16,2,1,0,4,1,256,"nonwhite","rural","single","female","trade","profocc",0.693147180559945,0.357057547862283,"northcen"
"197",6.25,1.832582,12,13,0,0,169,0,144,"white","rural","married","female","profserv","clerocc",0,0.366840103138934,"northcen"
"198",9.05,2.202765,12,10,2,3,100,4,144,"white","rural","married","male","construc","profocc",1.09861228866811,0.270039413360042,"northcen"
"199",10,2.302585,17,5,3,0,25,9,289,"white","rural","married","male","other","profocc",1.38629436111989,-0.0233217012199847,"northcen"
"200",11.11,2.407845,12,30,8,0,900,64,144,"white","rural","married","male","trade","profocc",2.19722457733622,0.471377019234804,"northcen"
"201",6.88,1.928619,12,31,19,3,961,361,144,"white","rural","married","male","profserv","servocc",2.99573227355399,0.0872999482888718,"northcen"
"202",8.75,2.169054,16,1,2,0,1,4,256,"nonwhite","rural","single","male","other","profocc",1.09861228866811,0.12012825807197,"northcen"
"203",10,2.302585,8,9,0,0,81,0,64,"white","rural","married","male","construc","other",0,0.756453756882651,"northcen"
"204",3.05,1.115142,12,10,0,2,100,0,144,"white","rural","married","female","trade","other",0,-0.0263611135541214,"northcen"
"205",3,1.098612,12,38,0,0,1444,0,144,"white","suburb","married","female","services","clerocc",0,0.0109918017846867,"northcen"
"206",5.8,1.757858,12,19,6,2,361,36,144,"white","suburb","married","female","ndurman","other",1.94591014905531,0.297049481347454,"northcen"
"207",4.1,1.410987,16,5,0,0,25,0,256,"white","rural","married","female","profserv","profocc",0,-0.330042440353158,"northcen"
"208",8,2.079442,12,26,2,1,676,4,144,"white","rural","married","male","other","other",1.09861228866811,0.151772521523409,"northcen"
"209",6.15,1.816452,12,35,12,0,1225,144,144,"white","rural","single","female","trade","other",2.56494935746154,0.405568267610471,"northcen"
"210",2.7,0.9932518,9,2,0,1,4,0,81,"white","rural","single","female","trade","clerocc",0,0.0970640336551312,"northcen"
"211",2.75,1.011601,13,1,2,1,1,4,169,"white","rural","single","female","profserv","servocc",1.09861228866811,-0.193141560048962,"northcen"
"212",3,1.098612,16,19,10,0,361,100,256,"white","rural","married","female","trade","clerocc",2.39789527279837,-0.708172583172459,"northcen"
"213",3,1.098612,14,3,2,0,9,4,196,"white","rural","single","female","profserv","servocc",1.09861228866811,-0.237664365092236,"northcen"
"214",7.36,1.99606,8,36,24,3,1296,576,64,"white","rural","married","male","other","other",3.2188758248682,0.139278377679698,"northcen"
"215",7.5,2.014903,14,29,24,1,841,576,196,"white","rural","married","male","other","profocc",3.2188758248682,-0.412459433767763,"northcen"
"216",3.5,1.252763,13,1,2,3,1,4,169,"white","rural","single","male","trade","other",1.09861228866811,-0.0480458495065766,"northcen"
"217",8.1,2.091864,12,38,3,1,1444,9,144,"white","rural","married","female","profserv","profocc",1.38629436111989,0.420501945369464,"northcen"
"218",3.75,1.321756,18,1,2,1,1,4,324,"white","rural","single","male","profserv","profocc",1.09861228866811,-0.783709530903397,"northcen"
"219",3.25,1.178655,9,29,0,1,841,0,81,"nonwhite","rural","married","male","other","other",0,-0.490229081335018,"northcen"
"220",5.83,1.763017,8,36,15,0,1296,225,64,"white","suburb","married","female","profserv","clerocc",2.77258872223978,0.287258212367277,"other"
"221",3.5,1.252763,8,4,0,3,16,0,64,"white","rural","single","male","trade","servocc",0,0.189330948276496,"other"
"222",3.33,1.202972,12,45,4,0,2025,16,144,"white","suburb","married","female","trade","other",1.6094379124341,0.100656270527457,"other"
